               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,             0.03948,            0.022354,                   0,             0.67179,             0.66257,              0.6495,             0.32075,            0.056046,            0.010235,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.040524,            0.022957,                   0,             0.72099,             0.68786,             0.67172,              0.3201,            0.056841,            0.010214,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.039831,            0.021986,                   0,             0.70223,              0.6407,             0.66582,             0.31096,            0.057041,            0.010667,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.040329,            0.022067,                   0,             0.64212,             0.57043,             0.57255,              0.2557,             0.05911,            0.010987,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.039402,            0.021704,                   0,             0.66223,             0.54913,             0.59434,             0.25069,            0.059663,            0.010984,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.040595,            0.021883,                   0,              0.7453,             0.71676,             0.69143,             0.33831,            0.053867,            0.010155,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.041065,             0.02195,                   0,             0.67648,             0.68786,             0.64971,              0.3074,            0.055546,            0.010322,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.038623,             0.02164,                   0,             0.70638,             0.61272,              0.6629,             0.28984,            0.058285,            0.010786,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.038497,            0.021426,                   0,             0.76051,             0.66082,              0.6634,             0.29802,            0.056171,            0.010262,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.038476,            0.022803,                   0,             0.70967,              0.7052,             0.68325,              0.3629,            0.053464,           0.0099757,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.038882,            0.021267,                   0,              0.6929,             0.61298,             0.63277,             0.24906,            0.060446,             0.01009,                   0,            0.002575,            0.002575,            0.002575
                  77,             0.03804,             0.02186,                   0,              0.7002,             0.64801,             0.64795,              0.2858,            0.058024,            0.010224,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.038275,             0.02146,                   0,             0.75652,             0.64659,             0.65047,             0.29835,            0.058518,            0.010288,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.037592,            0.022175,                   0,             0.73487,             0.73701,             0.73162,             0.37589,            0.053214,           0.0098765,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.037547,            0.021575,                   0,             0.76466,             0.77004,             0.75129,             0.38888,            0.052622,           0.0097327,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.037323,             0.02112,                   0,             0.79592,             0.71676,             0.71838,             0.37335,            0.053038,           0.0099833,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.037936,            0.020077,                   0,              0.6917,             0.60116,             0.59241,             0.27694,            0.057153,            0.010383,                   0,            0.001981,            0.001981,            0.001981
                  83,             0.03655,            0.021088,                   0,             0.71638,             0.75922,             0.72666,             0.38111,            0.052288,           0.0097544,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.037468,            0.020933,                   0,             0.76982,             0.71527,             0.73069,             0.38563,            0.052829,           0.0098109,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.037429,            0.020885,                   0,             0.74552,             0.66474,             0.72988,             0.37369,            0.053281,           0.0097804,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.038179,            0.020898,                   0,             0.78902,             0.64162,             0.70424,             0.34888,            0.053938,           0.0098765,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.037497,             0.02084,                   0,             0.75262,             0.70344,             0.72373,             0.34263,            0.053662,            0.010019,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.035972,             0.02053,                   0,             0.69414,             0.67052,             0.68524,             0.33715,            0.055069,            0.010131,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.035657,            0.021369,                   0,             0.73231,             0.74322,              0.7282,             0.37669,            0.054421,           0.0097728,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.036562,            0.020938,                   0,             0.64142,             0.56069,             0.60283,             0.28479,            0.059055,            0.011221,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.036928,            0.020653,                   0,             0.73485,             0.72832,             0.73639,             0.39174,            0.052046,           0.0097456,                   0,             0.00109,             0.00109,             0.00109
                  92,              0.0375,            0.020803,                   0,             0.77576,             0.66474,             0.71055,             0.35644,            0.054513,           0.0097673,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.035161,            0.020645,                   0,             0.76564,             0.72254,             0.76788,             0.42138,            0.053042,           0.0095842,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.035027,             0.01925,                   0,             0.73531,             0.70656,             0.74562,             0.40024,            0.053986,            0.009654,                   0,            0.000793,            0.000793,            0.000793
                  95,             0.03578,            0.020659,                   0,             0.73042,             0.66474,             0.70396,             0.37699,            0.055283,           0.0098803,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.036792,            0.021399,                   0,              0.7207,             0.68208,             0.73261,             0.38694,            0.052626,           0.0097575,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.036037,            0.020418,                   0,             0.71818,             0.69942,             0.73024,             0.37906,            0.054334,           0.0096836,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.035654,            0.020519,                   0,             0.78601,             0.70066,             0.75544,             0.42454,            0.052203,           0.0095055,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.035113,             0.02142,                   0,             0.73319,             0.72832,             0.74663,             0.41725,            0.051964,           0.0095134,                   0,            0.000298,            0.000298,            0.000298
